"","region","gridX","gridY","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"46","BWMB",12,9,"BWMB","Bournville","Selly Oak","BWSM","Birmingham West","BW","Birmingham","26053","11296",-1.933664,52.424627
"47","BWMC",14,10,"BWMC","Brandwood","Selly Oak","BWSM","Birmingham West","BW","Birmingham","25802","10977",-1.89981,52.4162
"48","BWMD",13,9,"BWMD","Selly Oak","Selly Oak","BWSM","Birmingham West","BW","Birmingham","25999","8241",-1.931446,52.440875
"49","CVGA",25,9,"CVGA","St Michael's","Coventry City Centre","CVSG","Coventry","CV","Coventry","27987","10665",-1.504861,52.407917
"50","CVHA",25,7,"CVHA","Foleshill","Coventry North East","CVSH","Coventry","CV","Coventry","19943","6940",-1.497472,52.42831
"51","CVHB",27,8,"CVHB","Henley","Coventry North East","CVSH","Coventry","CV","Coventry","18317","7648",-1.448959,52.433882
"52","CVHC",26,7,"CVHC","Longford","Coventry North East","CVSH","Coventry","CV","Coventry","18292","7844",-1.478752,52.446251
"53","CVHD",26,9,"CVHD","Lower Stoke","Coventry North East","CVSH","Coventry","CV","Coventry","18361","7205",-1.473746,52.404406
"54","CVHE",26,8,"CVHE","Upper Stoke","Coventry North East","CVSH","Coventry","CV","Coventry","18464","7571",-1.477092,52.420319
"55","CVHF",27,9,"CVHF","Wyken","Coventry North East","CVSH","Coventry","CV","Coventry","16953","6881",-1.448566,52.412579
"56","CVJA",23,7,"CVJA","Bablake","Coventry South and North West","CVSJ","Coventry","CV","Coventry","15755","6535",-1.56524,52.439354
"57","CVJB",26,10,"CVJB","Binley and Willenhall","Coventry South and North West","CVSJ","Coventry","CV","Coventry","16874","7495",-1.45704,52.391762
"58","CVJC",25,10,"CVJC","Cheylesmore","Coventry South and North West","CVSJ","Coventry","CV","Coventry","15977","7191",-1.492137,52.387227
"59","CVJD",24,9,"CVJD","Earlsdon","Coventry South and North West","CVSJ","Coventry","CV","Coventry","15371","6351",-1.532004,52.393917
"60","CVJE",24,7,"CVJE","Holbrook","Coventry South and North West","CVSJ","Coventry","CV","Coventry","17080","6637",-1.513487,52.443526
"61","CVJF",25,8,"CVJF","Radford","Coventry South and North West","CVSJ","Coventry","CV","Coventry","18799","7766",-1.517413,52.424351
"62","CVJG",24,8,"CVJG","Sherbourne","Coventry South and North West","CVSJ","Coventry","CV","Coventry","12988","5319",-1.539205,52.417576
"63","CVJH",24,10,"CVJH","Wainbody","Coventry South and North West","CVSJ","Coventry","CV","Coventry","14910","4668",-1.542004,52.379917
"64","CVJJ",23,10,"CVJJ","Westwood","Coventry South and North West","CVSJ","Coventry","CV","Coventry","18198","7255",-1.579306,52.396183
"65","CVJK",23,9,"CVJK","Whoberley","Coventry South and North West","CVSJ","Coventry","CV","Coventry","15875","7022",-1.54954,52.410874
"66","CVJL",23,8,"CVJL","Woodlands","Coventry South and North West","CVSJ","Coventry","CV","Coventry","16815","7599",-1.583602,52.412196
"67","DYGA",7,8,"DYGA","Belle Vale","Dudley East","DYSG","Dudley","DY","Dudley","13535","5842",-2.061153,52.455168
"68","DYGB",6,5,"DYGB","Castle and Priory","Dudley East","DYSG","Dudley","DY","Dudley","14750","5511",-2.090149,52.520813
"69","DYGC",6,4,"DYGC","Coseley East","Dudley East","DYSG","Dudley","DY","Dudley","12625","5267",-2.085214,52.543549
