"","region","gridX","gridY","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"131","SWBP",6,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBP","Soho and Victoria","Sandwell South","SWSB","Sandwell","SW","Sandwell","15540","5367",-1.957179,52.49208
"132","SWBQ",5,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBQ","St Paul's","Sandwell South","SWSB","Sandwell","SW","Sandwell","14453","4671",-1.982039,52.500966
"133","SWBR",3,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBR","Tividale","Sandwell South","SWSB","Sandwell","SW","Sandwell","12575","4907",-2.046325,52.503311
"134","WSFA",5,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSFA","Birchills Leamore","Walsall Central","WSSF","Walsall","WS","Walsall","15163","6165",-2.003586,52.599934
"135","WSFB",6,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSFB","Blakenall","Walsall Central","WSSF","Walsall","WS","Walsall","13532","5054",-1.980787,52.606839
"136","WSFC",6,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSFC","Bloxwich East","Walsall Central","WSSF","Walsall","WS","Walsall","12198","5038",-1.995001,52.624473
"137","WSFD",5,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSFD","Bloxwich West","Walsall Central","WSSF","Walsall","WS","Walsall","13098","5636",-2.016541,52.621008
"138","WSFE",7,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSFE","Paddock","Walsall Central","WSSF","Walsall","WS","Walsall","12771","4721",-1.952731,52.573009
"139","WSFF",6,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSFF","Palfrey","Walsall Central","WSSF","Walsall","WS","Walsall","16532","5407",-1.978937,52.567109
"140","WSFG",5,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSFG","Pleck","Walsall Central","WSSF","Walsall","WS","Walsall","15090","5427",-2.003965,52.578995
"141","WSGA",9,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGA","Aldridge Central and South","Walsall Outer","WSSG","Walsall","WS","Walsall","13935","6020",-1.915238,52.599585
"142","WSGB",8,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGB","Aldridge North and Walsall Wood","Walsall Outer","WSSG","Walsall","WS","Walsall","13207","5532",-1.924306,52.629228
"143","WSGC",8,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGC","Brownhills","Walsall Outer","WSSG","Walsall","WS","Walsall","12630","5157",-1.939658,52.648991
"144","WSGD",7,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGD","Pelsall","Walsall Outer","WSSG","Walsall","WS","Walsall","11430","4831",-1.969727,52.630636
"145","WSGE",8,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGE","Pheasey Park Farm","Walsall Outer","WSSG","Walsall","WS","Walsall","11245","4629",-1.921543,52.566949
"146","WSGF",7,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGF","Rushall Shelfield","Walsall Outer","WSSG","Walsall","WS","Walsall","12045","5069",-1.950193,52.611342
"147","WSGG",9,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGG","Streetly","Walsall Outer","WSSG","Walsall","WS","Walsall","13780","5641",-1.891697,52.577331
"148","WSGH",5,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGH","Bentley and Darlaston North","Walsall Outer","WSSG","Walsall","WS","Walsall","13748","5240",-2.025082,52.580521
"149","WSGJ",4,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGJ","Darlaston South","Walsall Outer","WSSG","Walsall","WS","Walsall","14078","5586",-2.044077,52.563845
"150","WSGK",4,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGK","Short Heath","Walsall Outer","WSSG","Walsall","WS","Walsall","11425","4828",-2.036998,52.599818
"151","WSGL",4,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGL","Willenhall North","Walsall Outer","WSSG","Walsall","WS","Walsall","12697","5080",-2.039974,52.612336
"152","WSGM",4,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSGM","Willenhall South","Walsall Outer","WSSG","Walsall","WS","Walsall","15818","6414",-2.052848,52.585581
"153","WSHA",6,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WSHA","St Matthew's","Walsall St Matthew's","WSSH","Walsall","WS","Walsall","14917","6353",-1.968352,52.586653
"154","WVKA",1,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVKA","Wolverhampton City Centre","Wolverhampton City Centre","WVSK","Wolverhampton","WV","Wolverhampton","892","400",-2.128409,52.585069
"155","WVLA",3,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLA","Bilston East","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13379","5671",-2.06806,52.560176
"156","WVLB",3,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLB","Bilston North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12101","4774",-2.075747,52.574755
"157","WVLC",1,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLC","Blakenhall","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12022","4109",-2.129013,52.566573
"158","WVLD",1,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLD","Bushbury North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11816","5039",-2.11932,52.627823
"159","WVLE",2,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLE","Bushbury South and Low Hill","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13280","4915",-2.118983,52.60747
"160","WVLF",3,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLF","East Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12523","5346",-2.095912,52.58294
"161","WVLG",2,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLG","Ettingshall","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13741","5362",-2.102723,52.567691
"162","WVLH",2,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLH","Fallings Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12639","4975",-2.097914,52.614449
"163","WVLJ",1,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLJ","Graiseley","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12284","5171",-2.146501,52.576244
"164","WVLK",2,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLK","Heath Town","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","15285","6638",-2.106055,52.595862
"165","WVLL",0,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLL","Merry Hill","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12189","5203",-2.170609,52.570575
"166","WVLM",0,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLM","Oxley","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12716","5161",-2.145494,52.618435
"167","WVLN",0,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLN","Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11775","5184",-2.153107,52.588863
"168","WVLP",0,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLP","Penn","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12718","4941",-2.154403,52.561805
"169","WVLR",2,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLR","Spring Vale","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11991","4945",-2.106923,52.554016
"170","WVLS",1,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLS","St Peter's","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12198","4524",-2.139193,52.599724
"171","WVLT",0,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLT","Tettenhall Regis","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11944","4859",-2.169987,52.604339
"172","WVLW",0,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLW","Tettenhall Wightwick","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11300","5139",-2.181212,52.586198
"173","WVLX",3,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLX","Wednesfield North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11165","4937",-2.062393,52.613462
"174","WVLY",3,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLY","Wednesfield South","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11498","4877",-2.075277,52.599178
