"","region","gridX","gridY","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"31","BWHC",9,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWHC","Nechells","Ladywood East","BWSH","Birmingham West","BW","Birmingham","10689","4147",-1.869917,52.497283
"32","BWHD",9,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWHD","Small Heath","Ladywood East","BWSH","Birmingham West","BW","Birmingham","13415","4401",-1.863394,52.475556
"33","BWJA",7,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWJA","Jewellery Quarter","Ladywood West","BWSJ","Birmingham West","BW","Birmingham","7154","4073",-1.911693,52.485154
"34","BWJB",6,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWJB","Ladywood","Ladywood West","BWSJ","Birmingham West","BW","Birmingham","18505","8737",-1.930119,52.479507
"35","BWJC",7,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWJC","Soho Road","Ladywood West","BWSJ","Birmingham West","BW","Birmingham","12978","4541",-1.937656,52.500803
"36","BWJD",6,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWJD","Winson Green","Ladywood West","BWSJ","Birmingham West","BW","Birmingham","17233","5721",-1.936995,52.488746
"37","BWKA",6,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWKA","Kings Norton","Northfield","BWSK","Birmingham West","BW","Birmingham","24226","10216",-1.935912,52.40273
"38","BWKB",3,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWKB","Longbridge","Northfield","BWSK","Birmingham West","BW","Birmingham","25128","10664",-2.001147,52.398041
"39","BWKC",5,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWKC","Northfield","Northfield","BWSK","Birmingham West","BW","Birmingham","26025","11521",-1.967304,52.403094
"40","BWKD",5,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWKD","Weoley","Northfield","BWSK","Birmingham West","BW","Birmingham","25573","10635",-1.968555,52.427108
"41","BWLA",7,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWLA","Handsworth Wood","Perry Barr","BWSL","Birmingham West","BW","Birmingham","27642","9223",-1.940813,52.520024
"42","BWLB",8,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWLB","Lozells and East Handsworth","Perry Barr","BWSL","Birmingham West","BW","Birmingham","31511","9714",-1.917869,52.507554
"43","BWLC",8,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWLC","Oscott","Perry Barr","BWSL","Birmingham West","BW","Birmingham","24833","10334",-1.894444,52.542608
"44","BWLD",8,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWLD","Perry Barr","Perry Barr","BWSL","Birmingham West","BW","Birmingham","23750","8823",-1.902475,52.526068
"45","BWMA",7,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWMA","Billesley","Selly Oak","BWSM","Birmingham West","BW","Birmingham","26429","10702",-1.871596,52.417009
"46","BWMB",6,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWMB","Bournville","Selly Oak","BWSM","Birmingham West","BW","Birmingham","26053","11296",-1.933664,52.424627
"47","BWMC",7,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWMC","Brandwood","Selly Oak","BWSM","Birmingham West","BW","Birmingham","25802","10977",-1.89981,52.4162
"48","BWMD",6,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWMD","Selly Oak","Selly Oak","BWSM","Birmingham West","BW","Birmingham","25999","8241",-1.931446,52.440875
"49","CVGA",13,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVGA","St Michael's","Coventry City Centre","CVSG","Coventry","CV","Coventry","27987","10665",-1.504861,52.407917
"50","CVHA",13,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVHA","Foleshill","Coventry North East","CVSH","Coventry","CV","Coventry","19943","6940",-1.497472,52.42831
"51","CVHB",13,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVHB","Henley","Coventry North East","CVSH","Coventry","CV","Coventry","18317","7648",-1.448959,52.433882
"52","CVHC",13,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVHC","Longford","Coventry North East","CVSH","Coventry","CV","Coventry","18292","7844",-1.478752,52.446251
"53","CVHD",13,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVHD","Lower Stoke","Coventry North East","CVSH","Coventry","CV","Coventry","18361","7205",-1.473746,52.404406
"54","CVHE",13,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVHE","Upper Stoke","Coventry North East","CVSH","Coventry","CV","Coventry","18464","7571",-1.477092,52.420319
"55","CVHF",13,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVHF","Wyken","Coventry North East","CVSH","Coventry","CV","Coventry","16953","6881",-1.448566,52.412579
"56","CVJA",12,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJA","Bablake","Coventry South and North West","CVSJ","Coventry","CV","Coventry","15755","6535",-1.56524,52.439354
"57","CVJB",13,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJB","Binley and Willenhall","Coventry South and North West","CVSJ","Coventry","CV","Coventry","16874","7495",-1.45704,52.391762
"58","CVJC",13,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJC","Cheylesmore","Coventry South and North West","CVSJ","Coventry","CV","Coventry","15977","7191",-1.492137,52.387227
"59","CVJD",12,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJD","Earlsdon","Coventry South and North West","CVSJ","Coventry","CV","Coventry","15371","6351",-1.532004,52.393917
"60","CVJE",13,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJE","Holbrook","Coventry South and North West","CVSJ","Coventry","CV","Coventry","17080","6637",-1.513487,52.443526
"61","CVJF",13,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJF","Radford","Coventry South and North West","CVSJ","Coventry","CV","Coventry","18799","7766",-1.517413,52.424351
"62","CVJG",12,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJG","Sherbourne","Coventry South and North West","CVSJ","Coventry","CV","Coventry","12988","5319",-1.539205,52.417576
"63","CVJH",12,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJH","Wainbody","Coventry South and North West","CVSJ","Coventry","CV","Coventry","14910","4668",-1.542004,52.379917
"64","CVJJ",12,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJJ","Westwood","Coventry South and North West","CVSJ","Coventry","CV","Coventry","18198","7255",-1.579306,52.396183
"65","CVJK",12,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJK","Whoberley","Coventry South and North West","CVSJ","Coventry","CV","Coventry","15875","7022",-1.54954,52.410874
"66","CVJL",12,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"CVJL","Woodlands","Coventry South and North West","CVSJ","Coventry","CV","Coventry","16815","7599",-1.583602,52.412196
"67","DYGA",2,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGA","Belle Vale","Dudley East","DYSG","Dudley","DY","Dudley","13535","5842",-2.061153,52.455168
"68","DYGB",2,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGB","Castle and Priory","Dudley East","DYSG","Dudley","DY","Dudley","14750","5511",-2.090149,52.520813
"69","DYGC",2,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGC","Coseley East","Dudley East","DYSG","Dudley","DY","Dudley","12625","5267",-2.085214,52.543549
